job_id,company_id,job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg
348,24,Data Scientist,On-Site Analyst,Spain,via BeBee,Full-time,False,Spain,2023-05-01 17:15:43,False,False,Spain,,,
359,25,Data Engineer,Data Engineer,"Bala Cynwyd, PA",via SIG Careers,Full-time,False,Sudan,2023-09-29 17:18:19,False,False,Sudan,,,
411,26,Data Engineer,Big Data Engineer Senior Jobs,"San Diego, CA",via Clearance Jobs,Full-time,False,Sudan,2023-05-04 17:35:01,False,False,Sudan,,,
436,27,Senior Data Engineer,"Senior Data Engineer - $180k-$200k (Snowflake, Python)","New York, NY",via LinkedIn,Full-time,False,"California, United States",2023-10-20 17:10:56,True,True,United States,,,
477,28,Data Scientist,ES216 Data Scientist - Now Hiring,"Greenbelt, MD",via Snagajob,Full-time,False,Georgia,2023-06-28 18:18:54,False,True,United States,,,
484,29,Data Scientist,Senior Data Scientist Jobs,"Arlington, VA",via Clearance Jobs,Full-time,False,"New York, United States",2023-08-03 17:03:06,False,False,United States,,,
490,30,Senior Data Engineer,Senior Software Engineer (Senior Azure Data Engineer) - Now Hiring,"Cape Girardeau, MO",via Snagajob,Full-time,False,Georgia,2023-08-02 18:01:18,True,True,United States,hour,,27.895000457763672
491,31,Data Scientist,DataÂ Scientist/DataÂ Enthusiast,Austria,via Jobs Trabajo.org,Full-time,False,Austria,2023-09-24 17:13:54,False,False,Austria,,,
492,32,Data Scientist,Data Scientist,"Esch-sur-Alzette, Luxembourg",via BeBee Deutschland,Full-time,False,Luxembourg,2023-01-02 17:50:43,False,False,Luxembourg,,,
524,33,Business Analyst,ClearDomain - Business Analyst (1-4 yrs),India,via Trabajo.org,Full-time,False,India,2023-08-20 17:34:09,False,False,India,,,
534,34,Data Analyst,Data Analyst I,"Wyoming, MI",via BeBee,Full-time,False,"Illinois, United States",2023-01-27 17:03:21,False,True,United States,,,
554,35,Data Engineer,Junior Equipment Integration Engineer,"Porto, Portugal",via BeBee Portugal,Full-time,False,Portugal,2023-08-16 18:04:50,True,False,Portugal,,,
593,36,Data Analyst,"Oracle Business Intelligence Specialist (OTBI, OAC, Data...","London, UK",via My Valley Jobs Today,Contractor,False,United Kingdom,2023-10-25 17:16:56,True,False,United Kingdom,,,
609,37,Data Analyst,(Junior) Data Analyst:in,"Grasleben, Germany",via LinkedIn,Full-time,False,Germany,2023-10-28 17:11:15,True,False,Germany,,,
669,38,Data Scientist,Data Science - - Natural Language Processing Specialist (NLP),"Karachi, Pakistan",via Indeed,Full-time,False,Pakistan,2023-11-22 17:20:09,False,False,Pakistan,,,
685,39,Data Engineer,Data Engineer,"Pune, Maharashtra, India",via BeBee India,Full-time,False,India,2023-04-21 17:33:04,True,False,India,,,
691,40,Data Analyst,Data Analyst,Singapore,via BeBee Singapore,Contractor,False,Singapore,2023-06-24 17:19:14,False,False,Singapore,,,
705,41,Software Engineer,Senior Java Engineer,"Stockholm, Sweden",via Trabajo.org,Full-time,False,Sweden,2023-04-13 17:16:28,True,False,Sweden,,,
707,42,Data Engineer,Data Engineer,Singapore,via BeBee Singapore,Full-time,False,Singapore,2023-10-21 17:16:43,False,False,Singapore,,,
715,43,Data Scientist,Data Scientist 1,"Bengaluru, Karnataka, India",via LinkedIn,Full-time,False,India,2023-01-25 17:47:41,False,False,India,,,
739,44,Data Scientist,Head of Data Analytics a Digital Insights AI ML Big Data Tech etiion,Riyadh Saudi Arabia,via Trabajo.org,Full-time,False,Saudi Arabia,2023-03-25 17:39:16,False,False,Saudi Arabia,,,
749,45,Data Analyst,Business Data Analyst,"Pasig, Metro Manila, Philippines",via LinkedIn,,False,Philippines,2023-06-20 17:17:47,False,False,Philippines,,,
751,46,Data Engineer,Healthcare Data Engineer,"Bengaluru, Karnataka, India",via Indeed,Full-time,False,India,2023-06-02 17:32:06,False,False,India,,,
763,47,Senior Data Engineer,PM\Data Engineer Senior,"Florence, Metropolitan City of Florence, Italy",via Lavoro Trabajo.org,Full-time,False,Italy,2023-04-26 17:42:51,True,False,Italy,,,
787,48,Data Scientist,"Data Scientist: Hybrid-Augusta, GA Jobs","Augusta, GA",via Clearance Jobs,Full-time,False,Georgia,2023-08-11 17:39:44,False,False,United States,,,
804,49,Data Engineer,"Data Engineer, Lead","Arlington, VA",via LinkedIn,Full-time and Part-time,False,"Texas, United States",2023-11-16 17:07:14,False,True,United States,,,
811,50,Data Engineer,"Senior, Data Engineer",Singapore,via BeBee Singapore,Contractor,False,Singapore,2023-06-22 17:16:50,False,False,Singapore,,,
836,51,Data Analyst,Data Analyst,"Schönefeld, Germany",via BeBee Deutschland,Full-time,False,Germany,2023-02-21 17:34:23,True,False,Germany,,,
849,52,Data Analyst,Lead Data Analyst,"Atlanta, GA",via Trabajo.org,Full-time,False,Georgia,2023-02-03 18:03:46,True,False,United States,,,
868,53,Data Scientist,"Director, Data Scientist","Charlotte, NC",via LinkedIn,Full-time,False,"Illinois, United States",2023-06-09 17:04:18,False,True,United States,,,
870,54,Data Engineer,Data Engineer,"Ashland, KY",via LinkedIn,Full-time,False,Georgia,2023-09-27 18:26:12,True,False,United States,year,130000.0,
875,55,Data Analyst,Marketing Data,"Lisbon, Portugal",via BeBee Portugal,Full-time,False,Portugal,2023-09-09 17:13:16,True,False,Portugal,,,
886,56,Data Scientist,Cons Prod Strat Analyst III - Fraud Deposit Strategies (SAS \ SQL...,"Charlotte, NC",via Melga,Full-time,False,Georgia,2023-02-19 17:33:16,False,False,United States,,,
931,57,Data Analyst,Teacher | Data Analytics Bootcamp,Anywhere,via LinkedIn,Full-time,True,France,2023-03-09 17:31:18,False,False,France,,,
952,58,Data Scientist,Werkstudent (m/w/d) - Data Science,"Leverkusen, Germany",via BeBee,Full-time,False,Germany,2023-09-22 17:36:04,False,False,Germany,,,
964,59,Data Scientist,Data Scientist,"Ludwigshafen, Germany",via BeBee,Full-time,False,Germany,2023-11-26 17:37:35,False,False,Germany,,,
1007,60,Data Analyst,Data Analyst/Modeler Services,Anywhere,via LinkedIn,Contractor,True,Canada,2023-09-22 17:40:28,False,False,Canada,,,
1038,61,Data Scientist,Data Scientist Jobs,"Herndon, VA",via Clearance Jobs,Full-time,False,"New York, United States",2023-04-24 17:02:21,False,False,United States,,,
1061,62,Data Scientist,Data Scientist (SME) - TS/SCI with Polygraph Required - Now Hiring,"McLean, VA",via Snagajob,Full-time,False,Georgia,2023-08-16 18:15:49,False,False,United States,hour,,47.62000274658203
1098,49,Data Engineer,"Big Data Engineer, Mid","Norfolk, VA",via Snagajob,Full-time,False,Sudan,2023-05-24 18:11:11,False,True,Sudan,,,
1107,64,Senior Data Engineer,Senior Data Engineer,"Charlotte, NC",via LinkedIn,Full-time,False,"Florida, United States",2023-07-18 17:30:29,False,False,United States,,,
1138,65,Senior Data Engineer,Senior Data Engineer,"Cairo, Egypt",via Indeed,Full-time,False,Egypt,2023-01-09 17:28:51,False,False,Egypt,,,
1160,66,Data Engineer,Fraud Data Engineer Manager,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",via BeBee Malaysia,Full-time,False,Malaysia,2023-06-20 17:19:55,False,False,Malaysia,,,
1175,67,Data Engineer,100% REMOTE - Azure Data Engineer,Anywhere,via ZipRecruiter,Contractor and Temp work,True,Georgia,2023-10-16 17:53:24,True,False,United States,,,
1183,68,Data Analyst,"Manager, Data Analytics","Tampa, FL",via Foot Locker Careers,Full-time,False,"Florida, United States",2023-01-05 17:02:38,False,False,United States,,,
1211,69,Data Scientist,Principal Data Scientist,"Sacramento, CA",via Trabajo.org,Full-time,False,"California, United States",2023-11-04 17:02:28,False,True,United States,,,
1276,70,Senior Data Engineer,Senior Data Engineer in Mallow | Barry Group Jobs,"Cork, Ireland",via Trabajo.org,Full-time,False,Ireland,2023-03-05 17:40:12,False,False,Ireland,,,
1317,71,Data Engineer,"Data Engineer, Specialist","Charlotte, NC",via Big Country Jobs,Full-time,False,Georgia,2023-07-09 18:04:24,False,False,United States,,,
1337,72,Data Engineer,Data Engineer,United Kingdom,via WOWKtv Jobs,Contractor,False,United Kingdom,2023-04-06 17:21:45,True,False,United Kingdom,,,
1348,73,Data Scientist,Data Testing Lead,"Jersey City, NJ",via LinkedIn,Contractor and Temp work,False,"New York, United States",2023-11-16 17:00:07,True,False,United States,,,
1356,74,Data Analyst,Data Analyst / Consultant Real World Insights (d/w/m),"Frankfurt, Germany",via LinkedIn,Full-time,False,Germany,2023-07-13 17:11:01,True,False,Germany,,,
1357,75,Data Scientist,Sr Data Scientist (On-site),"Austin, TX",via LinkedIn,Full-time,False,"Texas, United States",2023-02-09 17:04:20,False,True,United States,,,
1413,76,Senior Data Engineer,Data - Senior Data Engineer (Azure Data Factory) - SQL - SLC,"Draper, UT",via LinkedIn,Full-time,False,"New York, United States",2023-03-23 17:10:30,False,False,United States,,,
1427,77,Data Scientist,Data Scientist & AI: Bootcamp and Project Work  (online –...,"Paris, France",via Moyyn,Part-time,False,France,2023-12-06 17:14:25,False,False,France,,,
1462,78,Data Engineer,Data Engineer - FULLTIME,Anywhere,via LinkedIn,Full-time,True,Sudan,2023-06-09 17:40:07,False,False,Sudan,,,
1552,79,Data Engineer,Healthcare Data Engineer,Anywhere,via LinkedIn,Full-time and Contractor,True,"New York, United States",2023-11-03 17:04:58,False,True,United States,,,
1577,80,Senior Data Engineer,"Senior Data Engineer, Scientific American.","New York, NY",via LinkedIn,Full-time,False,Georgia,2023-06-05 17:51:44,False,True,United States,,,
1594,81,Senior Data Engineer,Senior Azure Data Engineer (Contract W2),"Atlanta, GA",via Dice,Contractor,False,Sudan,2023-10-10 17:19:44,False,False,Sudan,hour,,60.0
1607,82,Data Scientist,Data Scientist,"Bethesda, MD",via Snagajob,Full-time,False,"New York, United States",2023-04-20 17:02:00,False,False,United States,,,
1609,83,Senior Data Engineer,"Senior Data Engineer, Investments Technology (Snowflake)","Boston, MA",via IHireTechnology,Full-time,False,"Texas, United States",2023-07-18 17:07:41,False,True,United States,,,
1613,84,Data Engineer,Azure Data Engineer (Synapse & PostgresSQL),Anywhere,via LinkedIn,Full-time,True,Sudan,2023-10-17 17:39:04,True,False,Sudan,,,
1623,85,Data Scientist,Data Scientist,"Bengaluru, Karnataka, India",via HR Software For Growing Businesses | Freshteam,Full-time,False,India,2023-04-29 17:13:01,False,False,India,,,
1635,86,Data Scientist,Data Scientist,"Rio de Mouro, Portugal",via BeBee Portugal,Full-time,False,Portugal,2023-09-05 17:20:00,False,False,Portugal,,,
1636,87,Machine Learning Engineer,MLOps Engineer,"Madrid, Spain",via BeBee,Full-time,False,Spain,2023-03-31 17:22:02,False,False,Spain,,,
1646,88,Data Engineer,Experis - Data Engineer,"Charleroi, Belgium",via FOX44 News Jobs,Full-time,False,Belgium,2023-03-17 17:46:03,False,False,Belgium,,,
1654,89,Senior Data Analyst,Senior Data Analyst ($3k Sign-on Bonus) - Security Clearance Required,"Linthicum Heights, MD",via WDHN Jobs,Full-time,False,"New York, United States",2023-04-05 17:00:07,False,True,United States,,,
1675,90,Data Scientist,Data Scientist,"Pune, Maharashtra, India",via BeBee India,Full-time,False,India,2023-12-23 17:09:13,False,False,India,,,
1695,91,Data Scientist,Lead Data Scientist (Remote),"New York, NY",via Careers At Cognizant,Full-time,False,"New York, United States",2023-06-21 17:02:37,False,True,United States,,,
1723,92,Data Scientist,Spatial Data Scientist (Madrid – Hybrid),"Madrid, Spain",via Indeed,Full-time,False,Spain,2023-07-17 18:12:11,False,False,Spain,,,
1750,93,Data Analyst,Data Analyst,"Atlanta, GA",via Indeed,Contractor,False,Georgia,2023-01-13 18:19:55,False,False,United States,hour,,24.5
1762,94,Data Analyst,Business Systems Data Analyst,"Miami, FL",via Trabajo.org,Full-time,False,"Florida, United States",2023-01-21 17:06:11,False,False,United States,,,
1777,95,Data Analyst,"Associate/ Analyst, Health Insights",Singapore,via BeBee Singapore,Contractor,False,Singapore,2023-04-22 17:20:56,False,False,Singapore,,,
1783,96,Data Engineer,Data Engineer - Financial Services (H/F),"Paris, France",via LinkedIn,Full-time,False,France,2023-05-26 17:23:24,False,False,France,,,
1785,97,Data Scientist,DATA SCIENTIST / DATABASE PROGRAMMER,"Denver, CO",via Indeed,Full-time,False,"Texas, United States",2023-03-23 17:06:44,False,True,United States,year,100000.0,
1788,98,Data Engineer,"Customer Engineer, Data/Business Intelligence, Looker, Google Cloud","Dublin, Ireland",via BeBee Ireland,Full-time,False,Ireland,2023-08-15 17:49:38,True,False,Ireland,,,
1809,99,Senior Data Scientist,Senior Data Scientist (Remote),Anywhere,via Indeed,Full-time,True,India,2023-05-12 17:28:50,False,False,India,,,
1828,100,Data Engineer,Data Engineer with Security Clearance,"Fort Meade, MD",via LinkedIn,Full-time,False,Georgia,2023-01-20 18:42:02,False,True,United States,,,
1851,101,Data Scientist,Director- Data Science,"Hyderabad, Telangana, India",via LinkedIn,Full-time,False,India,2023-09-15 17:11:46,False,False,India,,,
1878,102,Senior Data Engineer,Senior Data Engineer,"Mountain View, CA",via Indeed,Full-time,False,"Florida, United States",2023-10-01 17:08:54,False,True,United States,,,
1883,103,Senior Data Engineer,Senior Data Engineer,United Kingdom,via LinkedIn,Full-time,False,United Kingdom,2023-10-23 17:13:10,True,False,United Kingdom,,,
1900,104,Data Scientist,Data Scientist (2022-0260),"Washington, DC",via Melga,Full-time,False,"New York, United States",2023-02-18 17:02:52,False,False,United States,,,
1902,105,Senior Data Engineer,Senior Data Engineer,"Vienna, Austria",via BeBee,Full-time,False,Austria,2023-06-01 18:28:59,False,False,Austria,,,
1904,106,Data Scientist,Data Scientist,"Remote, OR",via BeBee,Full-time,False,"California, United States",2023-08-24 17:05:35,False,True,United States,,,
1937,107,Senior Data Engineer,"Senior Data Engineer (Redshift, Python, SQL, AWS) - Remote","London, UK",via WJHL Jobs,Full-time,False,United Kingdom,2023-03-28 17:25:38,True,False,United Kingdom,,,
1959,108,Senior Data Engineer,Senior Data Engineer,"The Woodlands, TX",via LinkedIn,Contractor,False,Georgia,2023-10-24 18:11:39,False,False,United States,,,
1960,109,Senior Data Engineer,Senior Front-end Engineer (Core Data Platform),"Athens, Greece",via Indeed,Full-time,False,Greece,2023-02-17 17:49:05,True,False,Greece,,,
1970,110,Data Scientist,Data Scientist,Anywhere,via Dice,Contractor,True,"Illinois, United States",2023-01-25 17:05:00,False,False,United States,,,
1976,111,Data Engineer,Applied signal processing and data analysis engineer,"Gothenburg, Sweden",via LinkedIn,Full-time,False,Sweden,2023-04-27 17:13:18,False,False,Sweden,,,
1984,112,Data Engineer,Data Engineer,Anywhere,via LinkedIn,Contractor,True,Georgia,2023-03-07 18:19:22,False,True,United States,,,
1985,113,Cloud Engineer,Lead Cloud Data and Operations Engineer,Anywhere,via LinkedIn Nigeria,Full-time,True,Nigeria,2023-10-06 17:23:04,False,False,Nigeria,,,
2000,114,Data Scientist,Data Scientist I,"Fort Worth, TX",via ZipRecruiter,Full-time,False,Sudan,2023-05-15 18:39:19,False,False,Sudan,,,
2062,115,Data Engineer,Data Engineer,"Fort Belvoir, VA",via ZipRecruiter,Full-time,False,Georgia,2023-04-19 18:31:53,False,True,United States,,,
2089,116,Data Scientist,Data Scientist,"Bengaluru, Karnataka, India",via SimplyHired,Full-time,False,India,2023-07-07 17:14:07,False,False,India,,,
2142,117,Data Scientist,Data Scientist,India,via BeBee India,Full-time,False,India,2023-12-23 17:09:17,False,False,India,,,
2152,118,Senior Data Scientist,Senior Data Scientist,"Concord, NH",via LinkedIn,Full-time,False,"New York, United States",2023-06-07 17:02:16,False,True,United States,,,
2238,119,Data Scientist,Associate Scientist | Sciences/Data Analysis/Laboratory,"San Diego, CA",via Jobs Trabajo.org,Full-time,False,"California, United States",2023-12-12 17:19:16,False,False,United States,,,
2280,120,Data Engineer,Data engineer with Python & AWS,Anywhere,via ZipRecruiter,Full-time,True,Georgia,2023-04-18 18:02:19,True,False,United States,hour,,70.0
2281,121,Data Engineer,Sr Data Engineer with GCP,"Medellín, Medellin, Antioquia, Colombia","via Trabajo.org - Vacantes De Empleo, Trabajo",Full-time,False,Colombia,2023-10-12 17:39:04,False,False,Colombia,,,
2293,122,Data Engineer,Cloud Data Engineer,"Kraków, Poland",via BeBee,Full-time,False,Poland,2023-08-10 17:59:38,True,False,Poland,,,
2296,123,Data Engineer,"Leader, Data Plane Engineering (10-15 years)",Anywhere,via LinkedIn,Full-time,True,India,2023-10-23 17:09:39,False,False,India,,,
2301,124,Data Analyst,Business Intelligence Engineer,"Brussels, Belgium",via LinkedIn Belgium,Full-time,False,Belgium,2023-11-03 17:26:28,False,False,Belgium,,,
2320,125,Software Engineer,Software Engineer I,"San José Province, San José, Costa Rica",via BeBee Costa Rica,Full-time,False,Costa Rica,2023-02-07 17:35:29,False,False,Costa Rica,,,
2326,126,Data Scientist,Senior Audit Data Scientist,"Livermore, CA",via BeBee,Full-time,False,"California, United States",2023-02-04 17:03:28,False,True,United States,,,
2331,127,Data Scientist,Chief Data Scientist,Singapore,via BeBee Singapore,Full-time,False,Singapore,2023-12-13 18:12:22,False,False,Singapore,,,
2377,128,Data Scientist,Lead Data Scientist,"Social Circle, GA",via Get Career Lead,Full-time,False,"Illinois, United States",2023-12-26 17:03:03,False,False,United States,,,
2385,129,Data Scientist,"Urgently required Data Scientist for Private Companies, contact...","Jangaon, Telangana, India",via Quikr,Full-time,False,India,2023-04-22 17:10:03,False,False,India,,,
2413,130,Business Analyst,Sales Specialist,Thailand,via Trabajo.org,Full-time,False,Thailand,2023-10-08 17:40:45,True,False,Thailand,,,
2414,131,Data Engineer,"Data Engineer - Datenpipelines, ETL-Verfahren (m/w/d)","Cologne, Germany",via SaluteMyJob,Full-time,False,Germany,2023-10-04 17:15:33,True,False,Germany,,,
2475,132,Data Scientist,Data Scientist,"Hyderabad, Telangana, India",via LinkedIn,Full-time,False,India,2023-04-21 17:32:37,False,False,India,,,
2514,133,Data Engineer,Data Engineer Intern,United Arab Emirates,via BeBee,Internship,False,United Arab Emirates,2023-01-06 17:43:38,False,False,United Arab Emirates,,,
2523,134,Software Engineer,Lead Software Engineer C++,"Hyderabad, Pakistan",via BeBee,Full-time,False,Pakistan,2023-07-22 17:09:38,False,False,Pakistan,,,
2530,10,Data Engineer,Scala Data Engineer,"Malmo, NE",via LinkedIn,Full-time,False,"Illinois, United States",2023-08-13 17:07:34,True,False,United States,,,
2531,136,Data Scientist,Manager - Data Scientist & Business Analytics - USD 8K + Benefits,Sharjah - United Arab Emirates,via BeBee,Full-time,False,United Arab Emirates,2023-01-19 18:18:58,False,False,United Arab Emirates,,,
2562,137,Data Analyst,Mid Data Analyst,Finland,via Trabajo.org,Full-time,False,Finland,2023-01-08 17:14:13,False,False,Finland,,,
2568,138,Senior Data Scientist,Clinical Senior Data Scientist,"Columbus, OH",via Nexxt,Full-time,False,Georgia,2023-05-25 17:41:07,False,True,United States,,,
2570,139,Data Scientist,Data Scientist Künstliche Intelligenz,"Oldenburg, Germany",via BeBee Deutschland,Full-time,False,Germany,2023-03-19 17:31:05,False,False,Germany,,,
2594,140,Senior Data Engineer,Sr. Cloud Data Engineer,"Thousand Oaks, CA",via LinkedIn,Contractor,False,Sudan,2023-11-19 17:40:15,False,False,Sudan,,,
2604,54,Data Analyst,Data Analyst,"Chicago, IL",via LinkedIn,Full-time,False,"Illinois, United States",2023-08-29 17:04:02,True,False,United States,year,85000.0,
2629,142,Senior Data Engineer,Data Engineer Sr Azure Remote,"Monterrey, Nuevo Leon, Mexico",via BeBee,Full-time,False,Mexico,2023-12-21 17:11:35,True,False,Mexico,,,
2645,143,Data Engineer,Data Engineer,"Washington, DC",via BeBee,Full-time,False,"Illinois, United States",2023-01-15 17:10:44,False,True,United States,,,
2651,144,Machine Learning Engineer,Machine Learning Developer,Poland,via EchoJobs,Full-time,False,Poland,2023-02-07 17:18:37,False,False,Poland,,,
2700,145,Data Scientist,Index Analyst,"Valparaíso, Chile","via Trabajo.org - Vacantes De Empleo, Trabajo",Full-time,False,Chile,2023-06-22 17:31:53,True,False,Chile,,,
2716,146,Software Engineer,Product Engineer,Australia,via BeBee Australia,Full-time,False,Australia,2023-11-19 17:16:02,False,False,Australia,,,
2728,147,Machine Learning Engineer,Machine Learning Engineer,"Montevideo, Montevideo Department, Uruguay","via Trabajo.org - Vacantes De Empleo, Trabajo",Full-time,False,Uruguay,2023-06-30 18:06:47,False,False,Uruguay,,,
2835,148,Data Engineer,Staff Engineer (Data Science) [T500-8603],"Bengaluru, Karnataka, India",via LinkedIn,Full-time,False,India,2023-10-04 17:13:06,False,False,India,,,
2850,149,Data Scientist,Datascientist,"Naples, Metropolitan City of Naples, Italy",via BeBee,Full-time,False,Italy,2023-01-04 17:33:30,False,False,Italy,,,
2866,150,Data Engineer,Data Engineer/Admin,"Fort Worth, TX",via LinkedIn,Full-time,False,"Florida, United States",2023-04-25 17:10:15,False,False,United States,,,
2878,151,Data Engineer,Lead Data Engineer - Now Hiring,"Walnut Shade, MO",via Snagajob,Full-time and Part-time,False,Sudan,2023-11-03 17:52:54,True,True,Sudan,hour,,37.68000030517578
2901,152,Data Analyst,"Principal Data Analyst, Optum People Analytics","Orlando, FL",via Trabajo.org,Full-time,False,"Florida, United States",2023-03-29 17:03:52,False,True,United States,,,
2905,153,Software Engineer,Senior Platform Engineer,Sweden,via BeBee,Full-time,False,Sweden,2023-07-30 18:15:33,True,False,Sweden,,,
2911,154,Senior Data Engineer,Senior Data Engineer,"Jersey City, NJ",via Dice,Full-time,False,"Illinois, United States",2023-08-07 17:46:50,False,True,United States,,,
2915,155,Data Scientist,Data Scientist II - FinTech,"Amsterdam, Netherlands",via Smart Recruiters Jobs,Full-time,False,Netherlands,2023-12-24 17:21:26,False,False,Netherlands,,,
2923,156,Data Analyst,REMOTE Data Analyst,"Orlando, FL",via Trabajo.org,Full-time,False,"Florida, United States",2023-03-19 17:23:16,False,False,United States,,,
2925,157,Data Engineer,Dev10 Entry Level Data Engineer - Nationwide,"Washington, DC",via LinkedIn,Full-time,False,"California, United States",2023-01-12 17:11:07,False,True,United States,,,
2928,158,Data Scientist,Specialist Data Scientist – Sandton,"Johannesburg, South Africa",via BeBee South Africa,Full-time,False,South Africa,2023-04-18 17:50:00,False,False,South Africa,,,
2935,159,Data Engineer,Data Engineer M/F,"Reggio Emilia, Province of Reggio Emilia, Italy",via BeBee,Full-time,False,Italy,2023-01-06 17:26:25,False,False,Italy,,,
2942,160,Business Analyst,Data Engineers och Data/Business Analysts,"Stockholm, Sweden",via SimplyHired,Full-time,False,Sweden,2023-11-26 17:48:23,False,False,Sweden,,,
2949,161,Data Engineer,Data Quality Engineer,"Baghdad, Iraq",via BeBee العراق,Full-time,False,Iraq,2023-07-05 17:34:29,False,False,Iraq,,,
2954,162,Senior Data Scientist,Senior Data Scientist,"Glendale, AZ",via Trabajo.org,Full-time,False,"California, United States",2023-11-19 17:02:03,False,False,United States,,,
2971,163,Data Analyst,Data Analyst,Singapore,via BeBee Singapore,Contractor,False,Singapore,2023-05-25 17:38:25,False,False,Singapore,,,
3019,164,Senior Data Scientist,Senior Data Scientist,"Pune, Maharashtra, India",via LinkedIn,Full-time,False,India,2023-11-17 17:11:44,False,False,India,,,
3049,165,Data Analyst,Principal Data Analyst,"Azle, TX",via Alljobsnetwork.com,Full-time,False,"Texas, United States",2023-02-09 17:01:32,False,False,United States,,,
3087,166,Data Engineer,"Future Opportunity- Azure Data Engineer, Manager","Florham Park, NJ",via Nexxt,Full-time,False,"Florida, United States",2023-01-21 17:16:14,False,True,United States,,,
3097,167,Data Engineer,Data Engineer,"Dublin, Ireland",via BeBee Ireland,Full-time,False,Ireland,2023-07-28 17:25:55,False,False,Ireland,,,
